Original Line,New Line,Start Point,End Point,Distance,Original Feed,Original Read Time,Move Time,Short,Dwell,Maximum Feed,New Read Time,Final Feed,Modify Feed On This Line?
"O1111;","O1111;",X0 Y0 Z0,X0 Y0 Z0,None,0,148,None,False,False,0,148,0,False
"N1 G20 G17 G40 G49 G80;","N1 G20 G17 G40 G49 G80;",X0 Y0 Z0,X0 Y0 Z0,None,0,284,None,False,False,0,284,0,False
"(PROGRAMMED BY ELLIOT);","",X0 Y0 Z0,X0 Y0 Z0,None,0,284,None,False,False,0,100,0,False
"();","",X0 Y0 Z0,X0 Y0 Z0,None,0,124,None,False,False,0,100,0,False
"(TOOL 21 IS DRILL .3125.);","",X0 Y0 Z0,X0 Y0 Z0,None,0,308,None,False,False,0,100,0,False
"(SHAPE PARAMETERS);","",X0 Y0 Z0,X0 Y0 Z0,None,0,252,None,False,False,0,100,0,False
"N2 M05;","N2 M05;",X0 Y0 Z0,X0 Y0 Z0,None,0,156,None,False,False,0,156,0,False
"N3 G59 G01 F101. Z0;","N3 G59 G01 F101. Z0;",X0 Y0 Z0,X0 Y0 Z0,0.0,101.0,260,None,True,False,0,260,0,False
"N4 X5. Y0;","N4 X5. Y0;",X0 Y0 Z0,X5.0 Y0.0 Z0.0,5.0,101.0,180,2970,False,False,121.4,180,101.0,False
"N5 M0;","N5 M0;",X5.0 Y0.0 Z0.0,X5.0 Y0.0 Z0.0,None,101.0,148,None,False,False,0,148,101.0,False
"N6 T21 M06;","N6 T21 M06;",X5.0 Y0.0 Z0.0,X5.0 Y0.0 Z0.0,None,101.0,188,None,False,False,0,188,101.0,False
"N7 G54;","N7 G54;",X5.0 Y0.0 Z0.0,X5.0 Y0.0 Z0.0,None,101.0,156,None,False,False,0,156,101.0,False
"N8 S1000 M03;","N8 S1000 M03;",X5.0 Y0.0 Z0.0,X5.0 Y0.0 Z0.0,None,101.0,204,None,False,False,0,204,101.0,False
"N9 M09;","N9 M09;",X5.0 Y0.0 Z0.0,X5.0 Y0.0 Z0.0,None,101.0,156,None,False,False,0,156,101.0,False
"(OPERATION - PECK DRILL 1);","",X5.0 Y0.0 Z0.0,X5.0 Y0.0 Z0.0,None,101.0,316,None,False,False,0,100,101.0,False
